train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/1000, train: loss=0.0824, val: psnr=27.1854, 2.2m 2.2m/36.5h
epoch 2/1000, train: loss=0.0489, val: psnr=27.7636, 2.2m 4.4m/36.5h
epoch 3/1000, train: loss=0.0446, val: psnr=28.2298, 2.2m 6.6m/36.4h
epoch 4/1000, train: loss=0.0430, val: psnr=28.2842, 2.2m 8.7m/36.4h
epoch 5/1000, train: loss=0.0426, val: psnr=28.5204, 2.2m 10.9m/36.4h
epoch 6/1000, train: loss=0.0407, val: psnr=28.7160, 2.2m 13.1m/36.4h
epoch 7/1000, train: loss=0.0405, val: psnr=28.8417, 2.2m 15.3m/36.4h
epoch 8/1000, train: loss=0.0392, val: psnr=28.9917, 2.2m 17.5m/36.4h
epoch 9/1000, train: loss=0.0386, val: psnr=28.9790, 2.2m 19.7m/36.4h
epoch 10/1000, train: loss=0.0382, val: psnr=29.1488, 2.2m 21.9m/36.4h
epoch 11/1000, train: loss=0.0375, val: psnr=29.1945, 2.2m 24.1m/36.4h
epoch 12/1000, train: loss=0.0373, val: psnr=29.3842, 2.2m 26.2m/36.4h
epoch 13/1000, train: loss=0.0366, val: psnr=29.2709, 2.2m 28.4m/36.4h
epoch 14/1000, train: loss=0.0366, val: psnr=29.0203, 2.2m 30.6m/36.4h
epoch 15/1000, train: loss=0.0366, val: psnr=29.1552, 2.2m 32.7m/36.4h
epoch 16/1000, train: loss=0.0365, val: psnr=29.3491, 2.2m 34.9m/36.4h
epoch 17/1000, train: loss=0.0360, val: psnr=29.3318, 2.2m 37.1m/36.4h
epoch 18/1000, train: loss=0.0359, val: psnr=29.0403, 2.2m 39.3m/36.3h
epoch 19/1000, train: loss=0.0358, val: psnr=29.2184, 2.2m 41.4m/36.3h
epoch 20/1000, train: loss=0.0357, val: psnr=29.3079, 2.2m 43.6m/36.3h
epoch 21/1000, train: loss=0.0358, val: psnr=29.4402, 2.2m 45.8m/36.3h
epoch 22/1000, train: loss=0.0357, val: psnr=29.4696, 2.2m 48.0m/36.3h
epoch 23/1000, train: loss=0.0355, val: psnr=29.2073, 2.2m 50.1m/36.3h
epoch 24/1000, train: loss=0.0357, val: psnr=29.1501, 2.2m 52.3m/36.3h
epoch 25/1000, train: loss=0.0355, val: psnr=29.1633, 2.2m 54.5m/36.3h
epoch 26/1000, train: loss=0.0352, val: psnr=29.6413, 2.2m 56.7m/36.3h
epoch 27/1000, train: loss=0.0347, val: psnr=29.5864, 2.2m 58.8m/36.3h
epoch 28/1000, train: loss=0.0357, val: psnr=29.5706, 2.2m 1.0h/36.3h
epoch 29/1000, train: loss=0.0350, val: psnr=29.3085, 2.2m 1.1h/36.4h
epoch 30/1000, train: loss=0.0347, val: psnr=29.6154, 2.2m 1.1h/36.4h
epoch 31/1000, train: loss=0.0347, val: psnr=29.7103, 2.2m 1.1h/36.4h
epoch 32/1000, train: loss=0.0344, val: psnr=29.5316, 2.2m 1.2h/36.4h
epoch 33/1000, train: loss=0.0345, val: psnr=28.9484, 2.2m 1.2h/36.4h
epoch 34/1000, train: loss=0.0346, val: psnr=29.7395, 2.2m 1.2h/36.5h
epoch 35/1000, train: loss=0.0346, val: psnr=29.5229, 2.2m 1.3h/36.5h
epoch 36/1000, train: loss=0.0343, val: psnr=29.6647, 2.2m 1.3h/36.5h
epoch 37/1000, train: loss=0.0344, val: psnr=29.6118, 2.2m 1.4h/36.5h
epoch 38/1000, train: loss=0.0346, val: psnr=29.3902, 2.2m 1.4h/36.5h
epoch 39/1000, train: loss=0.0344, val: psnr=29.4426, 2.2m 1.4h/36.5h
epoch 40/1000, train: loss=0.0345, val: psnr=29.5360, 2.2m 1.5h/36.5h
epoch 41/1000, train: loss=0.0343, val: psnr=29.4901, 2.2m 1.5h/36.5h
epoch 42/1000, train: loss=0.0340, val: psnr=29.5939, 2.2m 1.5h/36.5h
epoch 43/1000, train: loss=0.0341, val: psnr=29.5477, 2.2m 1.6h/36.5h
epoch 44/1000, train: loss=0.0342, val: psnr=29.5879, 2.2m 1.6h/36.5h
