train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=2.7M
epoch 1/1000, train: loss=0.0981, val: psnr=26.7409, 8.0m 8.0m/132.7h
epoch 2/1000, train: loss=0.0605, val: psnr=27.2956, 7.7m 15.6m/130.4h
epoch 3/1000, train: loss=0.0533, val: psnr=26.9936, 7.7m 23.3m/129.6h
epoch 4/1000, train: loss=0.0512, val: psnr=27.7879, 7.6m 31.0m/129.0h
epoch 5/1000, train: loss=0.0494, val: psnr=27.9396, 7.6m 38.5m/128.4h
epoch 6/1000, train: loss=0.0476, val: psnr=28.4392, 7.1m 45.6m/126.8h
epoch 7/1000, train: loss=0.0460, val: psnr=28.3487, 7.7m 53.3m/127.0h
epoch 8/1000, train: loss=0.0446, val: psnr=28.3723, 7.7m 1.0h/127.2h
epoch 9/1000, train: loss=0.0438, val: psnr=28.9611, 7.7m 1.1h/127.4h
epoch 10/1000, train: loss=0.0427, val: psnr=28.6583, 7.7m 1.3h/127.5h
epoch 11/1000, train: loss=0.0425, val: psnr=28.8197, 7.7m 1.4h/127.6h
epoch 12/1000, train: loss=0.0408, val: psnr=29.0574, 6.8m 1.5h/126.4h
epoch 13/1000, train: loss=0.0416, val: psnr=28.7448, 7.7m 1.6h/126.5h
epoch 14/1000, train: loss=0.0406, val: psnr=29.1092, 7.7m 1.8h/126.6h
epoch 15/1000, train: loss=0.0401, val: psnr=28.9203, 7.7m 1.9h/126.7h
epoch 16/1000, train: loss=0.0395, val: psnr=29.1889, 7.7m 2.0h/126.8h
epoch 17/1000, train: loss=0.0393, val: psnr=28.9291, 7.7m 2.2h/126.9h
epoch 18/1000, train: loss=0.0390, val: psnr=29.1345, 6.9m 2.3h/126.2h
epoch 19/1000, train: loss=0.0383, val: psnr=28.7506, 7.7m 2.4h/126.3h
epoch 20/1000, train: loss=0.0381, val: psnr=29.3361, 7.7m 2.5h/126.4h
epoch 21/1000, train: loss=0.0383, val: psnr=29.3576, 7.7m 2.7h/126.5h
epoch 22/1000, train: loss=0.0377, val: psnr=29.2647, 7.7m 2.8h/126.6h
epoch 23/1000, train: loss=0.0378, val: psnr=29.2839, 7.7m 2.9h/126.7h
epoch 24/1000, train: loss=0.0376, val: psnr=29.6885, 6.8m 3.0h/126.1h
epoch 25/1000, train: loss=0.0367, val: psnr=29.1037, 7.6m 3.2h/126.2h
epoch 26/1000, train: loss=0.0367, val: psnr=29.1440, 7.6m 3.3h/126.2h
epoch 27/1000, train: loss=0.0369, val: psnr=29.1385, 7.7m 3.4h/126.3h
epoch 28/1000, train: loss=0.0376, val: psnr=29.3460, 7.6m 3.5h/126.3h
epoch 29/1000, train: loss=0.0368, val: psnr=29.3797, 7.6m 3.7h/126.4h
epoch 30/1000, train: loss=0.0362, val: psnr=29.3009, 6.8m 3.8h/125.9h
epoch 31/1000, train: loss=0.0366, val: psnr=29.3367, 7.7m 3.9h/126.0h
epoch 32/1000, train: loss=0.0358, val: psnr=29.3167, 7.7m 4.0h/126.1h
epoch 33/1000, train: loss=0.0362, val: psnr=29.2187, 7.7m 4.2h/126.1h
epoch 34/1000, train: loss=0.0359, val: psnr=29.5206, 7.7m 4.3h/126.2h
epoch 35/1000, train: loss=0.0359, val: psnr=29.4455, 7.7m 4.4h/126.2h
epoch 36/1000, train: loss=0.0360, val: psnr=29.4134, 6.9m 4.5h/125.9h
epoch 37/1000, train: loss=0.0360, val: psnr=29.4163, 7.6m 4.7h/126.0h
epoch 38/1000, train: loss=0.0353, val: psnr=29.5319, 7.6m 4.8h/126.0h
epoch 39/1000, train: loss=0.0357, val: psnr=29.5354, 7.6m 4.9h/126.0h
epoch 40/1000, train: loss=0.0354, val: psnr=29.6161, 7.7m 5.0h/126.1h
epoch 41/1000, train: loss=0.0354, val: psnr=29.3946, 7.7m 5.2h/126.1h
epoch 42/1000, train: loss=0.0357, val: psnr=29.5784, 7.2m 5.3h/126.0h
epoch 43/1000, train: loss=0.0355, val: psnr=29.3413, 7.4m 5.4h/125.9h
epoch 44/1000, train: loss=0.0352, val: psnr=29.5452, 7.6m 5.5h/125.9h
epoch 45/1000, train: loss=0.0348, val: psnr=29.5598, 7.6m 5.7h/125.9h
epoch 46/1000, train: loss=0.0351, val: psnr=29.4435, 7.7m 5.8h/126.0h
epoch 47/1000, train: loss=0.0353, val: psnr=29.1669, 7.7m 5.9h/126.0h
epoch 48/1000, train: loss=0.0352, val: psnr=29.3399, 7.6m 6.0h/126.0h
epoch 49/1000, train: loss=0.0348, val: psnr=29.7587, 7.1m 6.2h/125.9h
epoch 50/1000, train: loss=0.0352, val: psnr=29.4129, 7.7m 6.3h/125.9h
epoch 51/1000, train: loss=0.0348, val: psnr=29.7853, 7.6m 6.4h/125.9h
epoch 52/1000, train: loss=0.0350, val: psnr=29.7520, 7.6m 6.6h/126.0h
epoch 53/1000, train: loss=0.0343, val: psnr=29.7781, 7.6m 6.7h/126.0h
epoch 54/1000, train: loss=0.0340, val: psnr=29.3496, 7.6m 6.8h/126.0h
