train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.8M
epoch 1/1000, train: loss=0.0647, val: psnr=27.7041, 2.6m 2.6m/43.5h
epoch 2/1000, train: loss=0.0481, val: psnr=28.3418, 2.4m 5.0m/41.9h
epoch 3/1000, train: loss=0.0459, val: psnr=28.2829, 2.4m 7.5m/41.5h
epoch 4/1000, train: loss=0.0435, val: psnr=28.5309, 2.4m 9.9m/41.3h
epoch 5/1000, train: loss=0.0430, val: psnr=28.8349, 2.4m 12.3m/41.2h
epoch 6/1000, train: loss=0.0419, val: psnr=28.8259, 2.4m 14.8m/41.1h
epoch 7/1000, train: loss=0.0410, val: psnr=28.5698, 2.4m 17.2m/40.9h
epoch 8/1000, train: loss=0.0405, val: psnr=28.9024, 2.5m 19.6m/40.9h
epoch 9/1000, train: loss=0.0400, val: psnr=29.2542, 2.4m 22.1m/40.9h
epoch 10/1000, train: loss=0.0396, val: psnr=29.1639, 2.4m 24.5m/40.9h
epoch 11/1000, train: loss=0.0392, val: psnr=29.0541, 2.4m 27.0m/40.8h
epoch 12/1000, train: loss=0.0389, val: psnr=28.7640, 2.4m 29.4m/40.8h
epoch 13/1000, train: loss=0.0391, val: psnr=29.3452, 2.4m 31.8m/40.8h
epoch 14/1000, train: loss=0.0382, val: psnr=29.2740, 2.4m 34.3m/40.8h
epoch 15/1000, train: loss=0.0381, val: psnr=29.3399, 2.4m 36.7m/40.8h
epoch 16/1000, train: loss=0.0376, val: psnr=29.3122, 2.4m 39.2m/40.8h
epoch 17/1000, train: loss=0.0377, val: psnr=29.4043, 2.4m 41.6m/40.8h
epoch 18/1000, train: loss=0.0380, val: psnr=29.1300, 2.5m 44.1m/40.9h
epoch 19/1000, train: loss=0.0375, val: psnr=29.0181, 2.5m 46.6m/40.9h
epoch 20/1000, train: loss=0.0372, val: psnr=29.3033, 2.4m 49.0m/40.8h
epoch 21/1000, train: loss=0.0368, val: psnr=29.6565, 2.4m 51.5m/40.8h
epoch 22/1000, train: loss=0.0369, val: psnr=29.2761, 2.4m 53.9m/40.8h
epoch 23/1000, train: loss=0.0368, val: psnr=29.3362, 2.4m 56.3m/40.8h
epoch 24/1000, train: loss=0.0365, val: psnr=29.7396, 2.4m 58.8m/40.8h
epoch 25/1000, train: loss=0.0368, val: psnr=29.3901, 2.4m 1.0h/40.8h
epoch 26/1000, train: loss=0.0367, val: psnr=29.4742, 2.4m 1.1h/40.8h
epoch 27/1000, train: loss=0.0364, val: psnr=29.1323, 2.4m 1.1h/40.8h
epoch 28/1000, train: loss=0.0365, val: psnr=29.1560, 2.4m 1.1h/40.8h
epoch 29/1000, train: loss=0.0359, val: psnr=29.2381, 2.5m 1.2h/40.8h
epoch 30/1000, train: loss=0.0357, val: psnr=29.3414, 2.4m 1.2h/40.8h
epoch 31/1000, train: loss=0.0361, val: psnr=29.6984, 2.5m 1.3h/40.8h
epoch 32/1000, train: loss=0.0363, val: psnr=29.2901, 2.4m 1.3h/40.8h
epoch 33/1000, train: loss=0.0359, val: psnr=29.3500, 2.5m 1.3h/40.8h
epoch 34/1000, train: loss=0.0357, val: psnr=29.4604, 2.5m 1.4h/40.9h
epoch 35/1000, train: loss=0.0356, val: psnr=29.7048, 2.5m 1.4h/40.9h
epoch 36/1000, train: loss=0.0357, val: psnr=29.3092, 2.5m 1.5h/40.9h
epoch 37/1000, train: loss=0.0355, val: psnr=29.4337, 2.5m 1.5h/40.9h
epoch 38/1000, train: loss=0.0358, val: psnr=28.9189, 2.5m 1.6h/40.9h
epoch 39/1000, train: loss=0.0353, val: psnr=29.5017, 2.4m 1.6h/40.9h
epoch 40/1000, train: loss=0.0353, val: psnr=29.5595, 2.4m 1.6h/40.9h
epoch 41/1000, train: loss=0.0356, val: psnr=29.6005, 2.4m 1.7h/40.8h
epoch 42/1000, train: loss=0.0356, val: psnr=29.4329, 2.5m 1.7h/40.8h
epoch 43/1000, train: loss=0.0354, val: psnr=29.3433, 2.5m 1.8h/40.8h
epoch 44/1000, train: loss=0.0355, val: psnr=29.3918, 2.4m 1.8h/40.8h
epoch 45/1000, train: loss=0.0353, val: psnr=29.5570, 2.4m 1.8h/40.8h
epoch 46/1000, train: loss=0.0352, val: psnr=29.5047, 2.4m 1.9h/40.8h
epoch 47/1000, train: loss=0.0352, val: psnr=29.5797, 2.4m 1.9h/40.8h
epoch 48/1000, train: loss=0.0350, val: psnr=29.5248, 2.4m 2.0h/40.8h
epoch 49/1000, train: loss=0.0351, val: psnr=29.6398, 2.5m 2.0h/40.8h
epoch 50/1000, train: loss=0.0349, val: psnr=29.3646, 2.4m 2.0h/40.8h
epoch 51/1000, train: loss=0.0350, val: psnr=29.6132, 2.4m 2.1h/40.8h
epoch 52/1000, train: loss=0.0350, val: psnr=29.9380, 2.5m 2.1h/40.8h
epoch 53/1000, train: loss=0.0350, val: psnr=29.4375, 2.5m 2.2h/40.8h
epoch 54/1000, train: loss=0.0351, val: psnr=29.8659, 2.5m 2.2h/40.8h
epoch 55/1000, train: loss=0.0350, val: psnr=29.4739, 2.5m 2.2h/40.8h
epoch 56/1000, train: loss=0.0346, val: psnr=29.5944, 2.5m 2.3h/40.8h
epoch 57/1000, train: loss=0.0348, val: psnr=29.5931, 2.5m 2.3h/40.8h
epoch 58/1000, train: loss=0.0349, val: psnr=29.6626, 2.5m 2.4h/40.8h
epoch 59/1000, train: loss=0.0348, val: psnr=30.0752, 2.4m 2.4h/40.8h
epoch 60/1000, train: loss=0.0347, val: psnr=29.4253, 2.4m 2.5h/40.8h
epoch 61/1000, train: loss=0.0346, val: psnr=29.8843, 2.5m 2.5h/40.9h
epoch 62/1000, train: loss=0.0344, val: psnr=29.7385, 2.5m 2.5h/40.9h
epoch 63/1000, train: loss=0.0347, val: psnr=29.6069, 2.4m 2.6h/40.9h
epoch 64/1000, train: loss=0.0350, val: psnr=29.4263, 2.4m 2.6h/40.8h
epoch 65/1000, train: loss=0.0342, val: psnr=29.9263, 2.5m 2.7h/40.9h
epoch 66/1000, train: loss=0.0343, val: psnr=29.6272, 2.5m 2.7h/40.9h
epoch 67/1000, train: loss=0.0347, val: psnr=29.6508, 2.4m 2.7h/40.8h
epoch 68/1000, train: loss=0.0346, val: psnr=29.8954, 2.5m 2.8h/40.8h
epoch 69/1000, train: loss=0.0344, val: psnr=29.5949, 2.4m 2.8h/40.8h
epoch 70/1000, train: loss=0.0345, val: psnr=29.7437, 2.4m 2.9h/40.8h
epoch 71/1000, train: loss=0.0340, val: psnr=29.5536, 2.4m 2.9h/40.8h
epoch 72/1000, train: loss=0.0344, val: psnr=29.7289, 2.5m 2.9h/40.9h
