train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/1000, train: loss=0.0650, val: psnr=27.9256, 3.5m 3.5m/58.4h
epoch 2/1000, train: loss=0.0461, val: psnr=28.3324, 3.3m 6.8m/56.9h
epoch 3/1000, train: loss=0.0445, val: psnr=28.8106, 3.4m 10.2m/56.6h
epoch 4/1000, train: loss=0.0421, val: psnr=29.0009, 3.4m 13.6m/56.5h
epoch 5/1000, train: loss=0.0412, val: psnr=28.5775, 3.4m 16.9m/56.4h
epoch 6/1000, train: loss=0.0400, val: psnr=28.7732, 2.9m 19.9m/55.2h
epoch 7/1000, train: loss=0.0398, val: psnr=28.9246, 3.4m 23.2m/55.3h
epoch 8/1000, train: loss=0.0392, val: psnr=29.0543, 3.4m 26.6m/55.5h
epoch 9/1000, train: loss=0.0392, val: psnr=28.8920, 3.3m 30.0m/55.5h
epoch 10/1000, train: loss=0.0381, val: psnr=29.0808, 3.3m 33.3m/55.5h
epoch 11/1000, train: loss=0.0381, val: psnr=29.1365, 3.4m 36.7m/55.5h
epoch 12/1000, train: loss=0.0376, val: psnr=29.1935, 3.3m 40.0m/55.6h
epoch 13/1000, train: loss=0.0377, val: psnr=29.0766, 3.4m 43.3m/55.6h
epoch 14/1000, train: loss=0.0376, val: psnr=29.2290, 3.3m 46.7m/55.6h
epoch 15/1000, train: loss=0.0369, val: psnr=29.1630, 3.3m 50.0m/55.6h
epoch 16/1000, train: loss=0.0371, val: psnr=29.2592, 3.3m 53.4m/55.6h
epoch 17/1000, train: loss=0.0371, val: psnr=29.5971, 3.3m 56.7m/55.6h
epoch 18/1000, train: loss=0.0367, val: psnr=29.3870, 3.3m 1.0h/55.6h
epoch 19/1000, train: loss=0.0365, val: psnr=29.1459, 3.4m 1.1h/55.6h
epoch 20/1000, train: loss=0.0366, val: psnr=29.3668, 3.3m 1.1h/55.6h
epoch 21/1000, train: loss=0.0362, val: psnr=29.5610, 2.9m 1.2h/55.2h
epoch 22/1000, train: loss=0.0360, val: psnr=29.5303, 3.3m 1.2h/55.2h
epoch 23/1000, train: loss=0.0367, val: psnr=29.4331, 3.3m 1.3h/55.2h
epoch 24/1000, train: loss=0.0359, val: psnr=29.4559, 3.3m 1.3h/55.2h
epoch 25/1000, train: loss=0.0362, val: psnr=29.3478, 3.3m 1.4h/55.2h
epoch 26/1000, train: loss=0.0360, val: psnr=29.4781, 3.3m 1.4h/55.2h
epoch 27/1000, train: loss=0.0359, val: psnr=29.3392, 3.3m 1.5h/55.2h
epoch 28/1000, train: loss=0.0360, val: psnr=29.0528, 3.3m 1.5h/55.2h
epoch 29/1000, train: loss=0.0358, val: psnr=29.3320, 3.3m 1.6h/55.2h
epoch 30/1000, train: loss=0.0351, val: psnr=29.3638, 3.3m 1.7h/55.2h
epoch 31/1000, train: loss=0.0354, val: psnr=28.9453, 3.3m 1.7h/55.2h
epoch 32/1000, train: loss=0.0354, val: psnr=29.4607, 3.3m 1.8h/55.2h
epoch 33/1000, train: loss=0.0356, val: psnr=29.4689, 3.3m 1.8h/55.2h
epoch 34/1000, train: loss=0.0351, val: psnr=29.2915, 3.2m 1.9h/55.2h
epoch 35/1000, train: loss=0.0353, val: psnr=29.3591, 3.3m 1.9h/55.2h
epoch 36/1000, train: loss=0.0353, val: psnr=29.1668, 3.3m 2.0h/55.2h
epoch 37/1000, train: loss=0.0349, val: psnr=29.5176, 2.7m 2.0h/54.9h
epoch 38/1000, train: loss=0.0353, val: psnr=29.4689, 3.3m 2.1h/54.9h
epoch 39/1000, train: loss=0.0347, val: psnr=29.4894, 3.3m 2.1h/54.9h
epoch 40/1000, train: loss=0.0347, val: psnr=29.7712, 3.3m 2.2h/54.9h
epoch 41/1000, train: loss=0.0351, val: psnr=29.4251, 3.3m 2.2h/54.8h
epoch 42/1000, train: loss=0.0350, val: psnr=29.5972, 3.3m 2.3h/54.8h
epoch 43/1000, train: loss=0.0348, val: psnr=29.6137, 3.3m 2.4h/54.8h
epoch 44/1000, train: loss=0.0348, val: psnr=29.3600, 3.3m 2.4h/54.8h
epoch 45/1000, train: loss=0.0349, val: psnr=29.3545, 3.3m 2.5h/54.8h
epoch 46/1000, train: loss=0.0349, val: psnr=29.3662, 3.3m 2.5h/54.8h
epoch 47/1000, train: loss=0.0350, val: psnr=29.5361, 3.3m 2.6h/54.8h
epoch 48/1000, train: loss=0.0349, val: psnr=29.6356, 3.3m 2.6h/54.8h
epoch 49/1000, train: loss=0.0346, val: psnr=29.2697, 3.2m 2.7h/54.8h
epoch 50/1000, train: loss=0.0345, val: psnr=29.3950, 3.2m 2.7h/54.7h
epoch 51/1000, train: loss=0.0345, val: psnr=29.5255, 3.3m 2.8h/54.7h
epoch 52/1000, train: loss=0.0343, val: psnr=29.3959, 3.3m 2.8h/54.7h
epoch 53/1000, train: loss=0.0345, val: psnr=29.3665, 2.7m 2.9h/54.6h
epoch 54/1000, train: loss=0.0346, val: psnr=29.3721, 3.2m 2.9h/54.5h
epoch 55/1000, train: loss=0.0340, val: psnr=29.9373, 3.3m 3.0h/54.5h
epoch 56/1000, train: loss=0.0344, val: psnr=29.4055, 3.2m 3.1h/54.5h
epoch 57/1000, train: loss=0.0343, val: psnr=29.6902, 3.2m 3.1h/54.5h
epoch 58/1000, train: loss=0.0344, val: psnr=29.6072, 3.2m 3.2h/54.5h
epoch 59/1000, train: loss=0.0345, val: psnr=29.9950, 3.2m 3.2h/54.5h
epoch 60/1000, train: loss=0.0347, val: psnr=29.6590, 3.2m 3.3h/54.5h
epoch 61/1000, train: loss=0.0341, val: psnr=29.6009, 3.2m 3.3h/54.5h
epoch 62/1000, train: loss=0.0342, val: psnr=29.8033, 3.2m 3.4h/54.5h
epoch 63/1000, train: loss=0.0342, val: psnr=29.6537, 3.2m 3.4h/54.4h
epoch 64/1000, train: loss=0.0340, val: psnr=29.4428, 3.2m 3.5h/54.4h
epoch 65/1000, train: loss=0.0342, val: psnr=29.7006, 3.2m 3.5h/54.4h
epoch 66/1000, train: loss=0.0340, val: psnr=29.7995, 3.2m 3.6h/54.4h
epoch 67/1000, train: loss=0.0339, val: psnr=29.6477, 3.2m 3.6h/54.4h
epoch 68/1000, train: loss=0.0340, val: psnr=29.6281, 3.3m 3.7h/54.4h
epoch 69/1000, train: loss=0.0339, val: psnr=29.2959, 2.9m 3.7h/54.3h
epoch 70/1000, train: loss=0.0338, val: psnr=29.6227, 3.0m 3.8h/54.3h
epoch 71/1000, train: loss=0.0340, val: psnr=29.6277, 3.2m 3.9h/54.2h
epoch 72/1000, train: loss=0.0341, val: psnr=29.1611, 3.2m 3.9h/54.2h
epoch 73/1000, train: loss=0.0342, val: psnr=29.3534, 3.2m 4.0h/54.2h
epoch 74/1000, train: loss=0.0340, val: psnr=29.3497, 3.2m 4.0h/54.2h
epoch 75/1000, train: loss=0.0342, val: psnr=29.7750, 3.2m 4.1h/54.2h
epoch 76/1000, train: loss=0.0341, val: psnr=29.6247, 3.2m 4.1h/54.2h
epoch 77/1000, train: loss=0.0340, val: psnr=29.9446, 3.2m 4.2h/54.2h
epoch 78/1000, train: loss=0.0341, val: psnr=29.5433, 3.2m 4.2h/54.2h
epoch 79/1000, train: loss=0.0337, val: psnr=29.9906, 3.2m 4.3h/54.2h
epoch 80/1000, train: loss=0.0341, val: psnr=29.6142, 3.2m 4.3h/54.2h
epoch 81/1000, train: loss=0.0338, val: psnr=29.7763, 3.2m 4.4h/54.2h
epoch 82/1000, train: loss=0.0339, val: psnr=29.6461, 3.2m 4.4h/54.2h
epoch 83/1000, train: loss=0.0338, val: psnr=29.3180, 3.2m 4.5h/54.2h
epoch 84/1000, train: loss=0.0336, val: psnr=29.7209, 3.2m 4.5h/54.1h
epoch 85/1000, train: loss=0.0337, val: psnr=29.6509, 3.3m 4.6h/54.1h
epoch 86/1000, train: loss=0.0336, val: psnr=29.5723, 2.7m 4.6h/54.0h
epoch 87/1000, train: loss=0.0338, val: psnr=29.5959, 3.2m 4.7h/54.0h
epoch 88/1000, train: loss=0.0337, val: psnr=29.7961, 3.2m 4.8h/54.0h
epoch 89/1000, train: loss=0.0337, val: psnr=29.9918, 3.2m 4.8h/54.0h
epoch 90/1000, train: loss=0.0338, val: psnr=30.0468, 3.2m 4.9h/54.0h
epoch 91/1000, train: loss=0.0336, val: psnr=29.3483, 3.2m 4.9h/54.0h
epoch 92/1000, train: loss=0.0337, val: psnr=29.7561, 3.2m 5.0h/54.0h
epoch 93/1000, train: loss=0.0336, val: psnr=29.9728, 3.2m 5.0h/54.0h
epoch 94/1000, train: loss=0.0334, val: psnr=29.5768, 3.2m 5.1h/54.0h
epoch 95/1000, train: loss=0.0335, val: psnr=30.0484, 3.2m 5.1h/54.0h
epoch 96/1000, train: loss=0.0337, val: psnr=29.8823, 3.2m 5.2h/53.9h
epoch 97/1000, train: loss=0.0332, val: psnr=29.6882, 3.2m 5.2h/53.9h
epoch 98/1000, train: loss=0.0329, val: psnr=29.8490, 3.2m 5.3h/53.9h
epoch 99/1000, train: loss=0.0333, val: psnr=29.8712, 3.2m 5.3h/53.9h
epoch 100/1000, train: loss=0.0336, val: psnr=29.3980, 3.2m 5.4h/53.9h
epoch 101/1000, train: loss=0.0335, val: psnr=29.7110, 3.1m 5.4h/53.9h
epoch 102/1000, train: loss=0.0333, val: psnr=30.1041, 2.9m 5.5h/53.8h
epoch 103/1000, train: loss=0.0335, val: psnr=29.8731, 2.9m 5.5h/53.8h
epoch 104/1000, train: loss=0.0333, val: psnr=29.5276, 3.2m 5.6h/53.8h
epoch 105/1000, train: loss=0.0335, val: psnr=29.8050, 3.2m 5.6h/53.8h
epoch 106/1000, train: loss=0.0336, val: psnr=29.7615, 3.2m 5.7h/53.8h
epoch 107/1000, train: loss=0.0333, val: psnr=29.8301, 3.2m 5.8h/53.8h
epoch 108/1000, train: loss=0.0339, val: psnr=29.5814, 3.2m 5.8h/53.8h
epoch 109/1000, train: loss=0.0333, val: psnr=29.2968, 3.2m 5.9h/53.8h
epoch 110/1000, train: loss=0.0334, val: psnr=29.8422, 3.2m 5.9h/53.8h
epoch 111/1000, train: loss=0.0334, val: psnr=29.7102, 3.2m 6.0h/53.8h
epoch 112/1000, train: loss=0.0332, val: psnr=29.7925, 3.2m 6.0h/53.7h
epoch 113/1000, train: loss=0.0333, val: psnr=29.8713, 3.2m 6.1h/53.7h
epoch 114/1000, train: loss=0.0340, val: psnr=29.7889, 3.2m 6.1h/53.7h
epoch 115/1000, train: loss=0.0337, val: psnr=29.6443, 3.1m 6.2h/53.7h
epoch 116/1000, train: loss=0.0340, val: psnr=29.5711, 3.2m 6.2h/53.7h
epoch 117/1000, train: loss=0.0336, val: psnr=29.9316, 3.2m 6.3h/53.7h
epoch 118/1000, train: loss=0.0331, val: psnr=29.4261, 3.1m 6.3h/53.7h
epoch 119/1000, train: loss=0.0335, val: psnr=29.6611, 2.6m 6.4h/53.6h
epoch 120/1000, train: loss=0.0328, val: psnr=29.9343, 3.1m 6.4h/53.6h
epoch 121/1000, train: loss=0.0330, val: psnr=29.8335, 3.2m 6.5h/53.6h
epoch 122/1000, train: loss=0.0332, val: psnr=29.8306, 3.2m 6.5h/53.6h
epoch 123/1000, train: loss=0.0337, val: psnr=29.6487, 3.1m 6.6h/53.6h
epoch 124/1000, train: loss=0.0331, val: psnr=29.6606, 3.2m 6.6h/53.6h
epoch 125/1000, train: loss=0.0334, val: psnr=29.6624, 3.2m 6.7h/53.6h
epoch 126/1000, train: loss=0.0331, val: psnr=30.1167, 3.2m 6.7h/53.5h
epoch 127/1000, train: loss=0.0328, val: psnr=29.9109, 3.2m 6.8h/53.5h
epoch 128/1000, train: loss=0.0336, val: psnr=29.6527, 3.2m 6.9h/53.5h
epoch 129/1000, train: loss=0.0331, val: psnr=29.8552, 3.2m 6.9h/53.5h
epoch 130/1000, train: loss=0.0332, val: psnr=30.2110, 3.1m 7.0h/53.5h
epoch 131/1000, train: loss=0.0334, val: psnr=29.7878, 3.1m 7.0h/53.5h
epoch 132/1000, train: loss=0.0329, val: psnr=29.7020, 3.1m 7.1h/53.5h
epoch 133/1000, train: loss=0.0329, val: psnr=29.7705, 3.2m 7.1h/53.5h
epoch 134/1000, train: loss=0.0332, val: psnr=29.7272, 3.1m 7.2h/53.5h
epoch 135/1000, train: loss=0.0329, val: psnr=29.5999, 3.0m 7.2h/53.5h
epoch 136/1000, train: loss=0.0334, val: psnr=29.5474, 2.7m 7.3h/53.4h
epoch 137/1000, train: loss=0.0329, val: psnr=29.9337, 3.1m 7.3h/53.4h
epoch 138/1000, train: loss=0.0331, val: psnr=29.9286, 3.1m 7.4h/53.4h
epoch 139/1000, train: loss=0.0331, val: psnr=29.9174, 3.1m 7.4h/53.4h
epoch 140/1000, train: loss=0.0329, val: psnr=29.7436, 3.1m 7.5h/53.4h
epoch 141/1000, train: loss=0.0330, val: psnr=29.7096, 3.1m 7.5h/53.4h
epoch 142/1000, train: loss=0.0326, val: psnr=30.0148, 3.1m 7.6h/53.3h
epoch 143/1000, train: loss=0.0330, val: psnr=29.7545, 3.1m 7.6h/53.3h
epoch 144/1000, train: loss=0.0333, val: psnr=29.4770, 3.1m 7.7h/53.3h
epoch 145/1000, train: loss=0.0331, val: psnr=29.6580, 3.1m 7.7h/53.3h
epoch 146/1000, train: loss=0.0330, val: psnr=29.5576, 3.1m 7.8h/53.3h
epoch 147/1000, train: loss=0.0330, val: psnr=29.7689, 3.1m 7.8h/53.3h
epoch 148/1000, train: loss=0.0333, val: psnr=29.6017, 3.2m 7.9h/53.3h
epoch 149/1000, train: loss=0.0332, val: psnr=29.4515, 3.1m 7.9h/53.3h
epoch 150/1000, train: loss=0.0330, val: psnr=29.6128, 3.1m 8.0h/53.3h
epoch 151/1000, train: loss=0.0329, val: psnr=30.0120, 3.1m 8.0h/53.3h
epoch 152/1000, train: loss=0.0330, val: psnr=29.5497, 3.0m 8.1h/53.3h
epoch 153/1000, train: loss=0.0332, val: psnr=29.6609, 2.7m 8.1h/53.2h
epoch 154/1000, train: loss=0.0333, val: psnr=29.9743, 3.1m 8.2h/53.2h
epoch 155/1000, train: loss=0.0330, val: psnr=29.9193, 3.2m 8.2h/53.2h
epoch 156/1000, train: loss=0.0334, val: psnr=29.8820, 3.1m 8.3h/53.2h
epoch 157/1000, train: loss=0.0330, val: psnr=29.5526, 3.1m 8.4h/53.2h
